cond_name,cond_id,pre_tol,pre_ara,post_tol,post_ara,rep,LB,Kan,Kan_LB
uninduced - -,1,FALSE,FALSE,FALSE,FALSE,1,3000000,22,7.33333E-06
uninduced - -,1,FALSE,FALSE,FALSE,FALSE,2,3900000,13,3.33333E-06
uninduced - -,1,FALSE,FALSE,FALSE,FALSE,3,5000000,5,0.000001
uninduced - -,1,FALSE,FALSE,FALSE,FALSE,NC,3800000,8,2.10526E-06
uninduced - +,2,FALSE,FALSE,FALSE,TRUE,1,3000000,20,6.66667E-06
uninduced - +,2,FALSE,FALSE,FALSE,TRUE,2,2600000,10,3.84615E-06
uninduced - +,2,FALSE,FALSE,FALSE,TRUE,3,2000000,16,0.000008
uninduced - +,2,FALSE,FALSE,FALSE,TRUE,NC,2400000,15,0.00000625
uninduced + +,3,FALSE,FALSE,TRUE,TRUE,1,330000,4,1.21212E-05
uninduced + +,3,FALSE,FALSE,TRUE,TRUE,2,420000,5,1.19048E-05
uninduced + +,3,FALSE,FALSE,TRUE,TRUE,3,320000,6,0.00001875
uninduced + +,3,FALSE,FALSE,TRUE,TRUE,NC,250000,8,0.000032
tol induced - -,4,TRUE,FALSE,FALSE,FALSE,1,3400000,3200,0.000941176
tol induced - -,4,TRUE,FALSE,FALSE,FALSE,2,3000000,2800,0.000933333
tol induced - -,4,TRUE,FALSE,FALSE,FALSE,3,1700000,1600,0.000941176
tol induced - -,4,TRUE,FALSE,FALSE,FALSE,NC,2100000,9,4.28571E-06
tol induced - +,5,TRUE,FALSE,FALSE,TRUE,1,1760000,8300,0.004715909
tol induced - +,5,TRUE,FALSE,FALSE,TRUE,2,2400000,7100,0.002958333
tol induced - +,5,TRUE,FALSE,FALSE,TRUE,3,2600000,5000,0.001923077
tol induced - +,5,TRUE,FALSE,FALSE,TRUE,NC,3400000,8,2.35294E-06
tol induced + +,6,TRUE,FALSE,TRUE,TRUE,1,210000,63,0.0003
tol induced + +,6,TRUE,FALSE,TRUE,TRUE,2,110000,45,0.000409091
tol induced + +,6,TRUE,FALSE,TRUE,TRUE,3,260000,90,0.000346154
tol induced + +,6,TRUE,FALSE,TRUE,TRUE,NC,180000,9,0.00005
tol + ara induced - -,7,TRUE,TRUE,FALSE,FALSE,1,2600000,2400,0.000923077
tol + ara induced - -,7,TRUE,TRUE,FALSE,FALSE,2,3100000,5600,0.001806452
tol + ara induced - -,7,TRUE,TRUE,FALSE,FALSE,3,2900000,3900,0.001344828
tol + ara induced - -,7,TRUE,TRUE,FALSE,FALSE,NC,1100000,33,0.00003
tol + ara induced - +,8,TRUE,TRUE,FALSE,TRUE,1,890000,6400,0.007191011
tol + ara induced - +,8,TRUE,TRUE,FALSE,TRUE,2,1900000,10200,0.005368421
tol + ara induced - +,8,TRUE,TRUE,FALSE,TRUE,3,2000000,6600,0.0033
tol + ara induced - +,8,TRUE,TRUE,FALSE,TRUE,NC,2400000,56,2.33333E-05
tol + ara induced + +,9,TRUE,TRUE,TRUE,TRUE,1,150000,150,0.001
tol + ara induced + +,9,TRUE,TRUE,TRUE,TRUE,2,140000,160,0.001142857
tol + ara induced + +,9,TRUE,TRUE,TRUE,TRUE,3,190000,90,0.000473684
tol + ara induced + +,9,TRUE,TRUE,TRUE,TRUE,NC,40000,6,0.00015
