condition,rec_time,locus,replicate,LB_count,Kan_count
p265 0hr,0,galK,1,58000,0
p265 0hr,0,galK,2,62000,0
p265 30min,0.5,galK,1,85000,46
p265 30min,0.5,galK,2,84000,89
p265 1hr,1,galK,1,69000,270
p265 1hr,1,galK,2,117000,550
p265 3hr,3,galK,1,3700000,1700
p265 3hr,3,galK,2,5400000,3500
p265 6hr,6,galK,1,6800000,2600
p265 6hr,6,galK,2,5200000,2900
p266 0hr,0,hisA,1,64000,0
p266 0hr,0,hisA,2,61000,0
p266 30min,0.5,hisA,1,320000,40
p266 30min,0.5,hisA,2,340000,70
p266 1hr,1,hisA,1,360000,590
p266 1hr,1,hisA,2,400000,360
p266 3hr,3,hisA,1,3200000,4600
p266 3hr,3,hisA,2,6000000,3600
p266 6hr,6,hisA,1,5500000,3700
p266 6hr,6,hisA,2,5200000,3000
pInt 0hr,0,pInt_only,1,56000,0
pInt 0hr,0,pInt_only,2,47000,0
pInt 30min,0.5,pInt_only,1,310000,1
pInt 30min,0.5,pInt_only,2,260000,1
pInt 1hr,1,pInt_only,1,370000,8
pInt 1hr,1,pInt_only,2,360000,3
pInt 3hr,3,pInt_only,1,4900000,21
pInt 3hr,3,pInt_only,2,4000000,21
pInt 6hr,6,pInt_only,1,6000000,10
pInt 6hr,6,pInt_only,2,4800000,9
