locus,del_size,replicate,LB_count,Kan_count
hisA,100,1,370000,1120
hisA,100,2,900000,1710
hisA,700,1,800000,5100
hisA,700,2,880000,5200
hisA,7000,1,780000,100
hisA,7000,2,830000,92
metA,100,1,780000,8400
metA,100,2,980000,9600
metA,900,1,1250000,6000
metA,900,2,790000,3300
metA,13000,1,890000,1010
metA,13000,2,860000,830
leuD,100,1,880000,1370
leuD,100,2,760000,1090
leuD,600,1,1010000,720
leuD,600,2,990000,320
leuD,6000,1,760000,430
leuD,6000,2,730000,460
galK,1000,1,700000,3600
galK,1000,2,730000,2000
