condition,locus,deletion_size,pInt_only,replicate,permissive_colonies,selective_colonies
hisA 100 bp del,hisA,100,F,1,7,0
hisA 100 bp del,hisA,100,F,2,7,0
hisA 700 bp del,hisA,700,F,1,7,0
hisA 700 bp del,hisA,700,F,2,7,0
hisA 7000 bp del,hisA,7000,F,1,7,0
hisA 7000 bp del,hisA,7000,F,2,7,1
metA 100 bp del,metA,100,F,1,6,0
metA 100 bp del,metA,100,F,2,6,0
metA 900 bp del,metA,900,F,1,7,0
metA 900 bp del,metA,900,F,2,6,0
metA 13000 bp del,metA,13000,F,1,7,0
metA 13000 bp del,metA,13000,F,2,7,0
leuD 100 bp del,leuD,100,F,1,7,0
leuD 100 bp del,leuD,100,F,2,6,0
leuD 600 bp del,leuD,600,F,1,7,0
leuD 600 bp del,leuD,600,F,2,7,1
leuD 6000 bp del,leuD,6000,F,1,7,0
leuD 6000 bp del,leuD,6000,F,2,7,1
