condition,attB,attP,match,LB_count,Chlor_count
attB1_attP1,B1,P1,T,2100000,2900
attB1_attP2,B1,P2,F,2400000,220
attB1_attP3,B1,P3,F,2200000,550
attB1_attP4,B1,P4,F,1200000,3100
attB1_attP5,B1,P5,F,1700000,280
attB1_attP6,B1,P6,F,1700000,860
attB2_attP1,B2,P1,F,1300000,60
attB2_attP2,B2,P2,T,1400000,20000
attB2_attP3,B2,P3,F,1600000,390
attB2_attP4,B2,P4,F,1600000,4200
attB2_attP5,B2,P5,F,1400000,310
attB2_attP6,B2,P6,F,1200000,1400
attB3_attP1,B3,P1,F,1400000,56
attB3_attP2,B3,P2,F,1200000,370
attB3_attP3,B3,P3,T,1600000,7400
attB3_attP4,B3,P4,F,1830000,8400
attB3_attP5,B3,P5,F,1300000,1190
attB3_attP6,B3,P6,F,2400000,680
attB4_attP1,B4,P1,F,1420000,63
attB4_attP2,B4,P2,F,1900000,260
attB4_attP3,B4,P3,F,1200000,610
attB4_attP4,B4,P4,T,1600000,9900
attB4_attP5,B4,P5,F,1900000,400
attB4_attP6,B4,P6,F,1500000,1320
attB5_attP1,B5,P1,F,1200000,53
attB5_attP2,B5,P2,F,2000000,440
attB5_attP3,B5,P3,F,1800000,1070
attB5_attP4,B5,P4,F,1700000,1500
attB5_attP5,B5,P5,T,1500000,8500
attB5_attP6,B5,P6,F,1100000,1160
attB6_attP1,B6,P1,F,1330000,88
attB6_attP2,B6,P2,F,1700000,370
attB6_attP3,B6,P3,F,1300000,340
attB6_attP4,B6,P4,F,1300000,3900
attB6_attP5,B6,P5,F,1600000,92
attB6_attP6,B6,P6,T,1600000,9900
