helper_plasmid,replicate,locus,Kan_count,LB_count
pHelper_Beta,1,galK,86,4400000
pHelper_Beta,2,galK,120,2500000
pHelper_Beta,1,hisA,220,2600000
pHelper_Beta,2,hisA,480,4300000
pHelper_Beta,1,metA,215,3200000
pHelper_Beta,2,metA,238,3600000
pHelper_Beta,1,leuD,40,5200000
pHelper_Beta,2,leuD,21,4000000
pHelper_Beta,1,-,59,3300000
pHelper_Beta,2,-,100,4800000
pHelper_NoMutL,1,galK,52,830000
pHelper_NoMutL,2,galK,61,550000
pHelper_NoMutL,1,hisA,180,660000
pHelper_NoMutL,2,hisA,110,810000
pHelper_NoMutL,1,metA,37,570000
pHelper_NoMutL,2,metA,34,730000
pHelper_NoMutL,1,leuD,18,730000
pHelper_NoMutL,2,leuD,17,760000
pHelper_NoMutL,1,-,2,600000
pHelper_NoMutL,2,-,4,800000
pHelper_Ec1_LAA,1,galK,38,4300000
pHelper_Ec1_LAA,2,galK,58,7500000
pHelper_Ec1_LAA,1,hisA,118,7200000
pHelper_Ec1_LAA,2,hisA,60,5800000
pHelper_Ec1_LAA,1,metA,47,4500000
pHelper_Ec1_LAA,2,metA,59,5300000
pHelper_Ec1_LAA,1,leuD,37,3600000
pHelper_Ec1_LAA,2,leuD,9,4900000
pHelper_Ec1_LAA,1,-,14,5000000
pHelper_Ec1_LAA,2,-,22,6300000
