condition,helper_plasmid,locus,replicate,LB_count,Kan_count
pHelper_Ec1_original_galK,pHelper_Ec1_original,galK,1,1170000,68
pHelper_Ec1_original_hisA,pHelper_Ec1_original,hisA,1,1140000,83
pHelper_Ec1_original_metA,pHelper_Ec1_original,metA,1,940000,43
pHelper_Ec1_original_leuD,pHelper_Ec1_original,leuD,1,1070000,22
pHelper_Ec1_original_pint_only,pHelper_Ec1_original,pInt_only,1,1220000,2
pHelper_Ec1_fixed_galK,pHelper_Ec1_fixed,galK,1,1030000,35
pHelper_Ec1_fixed_hisA,pHelper_Ec1_fixed,hisA,1,910000,340
pHelper_Ec1_fixed_metA,pHelper_Ec1_fixed,metA,1,860000,300
pHelper_Ec1_fixed_leuD,pHelper_Ec1_fixed,leuD,1,660000,56
pHelper_Ec1_fixed_pInt_only,pHelper_Ec1_fixed,pInt_only,1,750000,12
pHelper_Ec1_noMutL_galK,pHelper_Ec1_noMutL_fixed,galK,1,980000,450
pHelper_Ec1_noMutL_hisA,pHelper_Ec1_noMutL_fixed,hisA,1,900000,690
pHelper_Ec1_noMutL_metA,pHelper_Ec1_noMutL_fixed,metA,1,1040000,670
pHelper_Ec1_noMutL_leuD,pHelper_Ec1_noMutL_fixed,leuD,1,1160000,240
pHelper_Ec1_noMutL_pInt_only,pHelper_Ec1_noMutL_fixed,pInt_only,1,810000,23
pHelper_Ec1_original_galK,pHelper_Ec1_original,galK,2,1030000,200
pHelper_Ec1_original_hisA,pHelper_Ec1_original,hisA,2,1030000,500
pHelper_Ec1_original_metA,pHelper_Ec1_original,metA,2,820000,200
pHelper_Ec1_original_leuD,pHelper_Ec1_original,leuD,2,850000,33
pHelper_Ec1_original_pint_only,pHelper_Ec1_original,pInt_only,2,1250000,5
pHelper_Ec1_fixed_galK,pHelper_Ec1_fixed,galK,2,710000,260
pHelper_Ec1_fixed_hisA,pHelper_Ec1_fixed,hisA,2,560000,530
pHelper_Ec1_fixed_metA,pHelper_Ec1_fixed,metA,2,660000,490
pHelper_Ec1_fixed_leuD,pHelper_Ec1_fixed,leuD,2,1020000,54
pHelper_Ec1_fixed_pInt_only,pHelper_Ec1_fixed,pInt_only,2,950000,15
pHelper_Ec1_noMutL_galK,pHelper_Ec1_noMutL_fixed,galK,2,820000,200
pHelper_Ec1_noMutL_hisA,pHelper_Ec1_noMutL_fixed,hisA,2,1070000,800
pHelper_Ec1_noMutL_metA,pHelper_Ec1_noMutL_fixed,metA,2,950000,460
pHelper_Ec1_noMutL_leuD,pHelper_Ec1_noMutL_fixed,leuD,2,920000,170
pHelper_Ec1_noMutL_pInt_only,pHelper_Ec1_noMutL_fixed,pInt_only,2,990000,33
pHelper_Ec1_original_galK,pHelper_Ec1_original,galK,3,1380000,300
pHelper_Ec1_original_hisA,pHelper_Ec1_original,hisA,3,1240000,320
pHelper_Ec1_original_metA,pHelper_Ec1_original,metA,3,1280000,320
pHelper_Ec1_original_leuD,pHelper_Ec1_original,leuD,3,1490000,55
pHelper_Ec1_original_pint_only,pHelper_Ec1_original,pInt_only,3,1540000,4
pHelper_Ec1_fixed_galK,pHelper_Ec1_fixed,galK,3,1330000,540
pHelper_Ec1_fixed_hisA,pHelper_Ec1_fixed,hisA,3,1240000,870
pHelper_Ec1_fixed_metA,pHelper_Ec1_fixed,metA,3,1220000,370
pHelper_Ec1_fixed_leuD,pHelper_Ec1_fixed,leuD,3,1020000,40
pHelper_Ec1_fixed_pInt_only,pHelper_Ec1_fixed,pInt_only,3,1140000,41
pHelper_Ec1_noMutL_galK,pHelper_Ec1_noMutL_fixed,galK,3,1040000,490
pHelper_Ec1_noMutL_hisA,pHelper_Ec1_noMutL_fixed,hisA,3,1180000,970
pHelper_Ec1_noMutL_metA,pHelper_Ec1_noMutL_fixed,metA,3,1200000,790
pHelper_Ec1_noMutL_leuD,pHelper_Ec1_noMutL_fixed,leuD,3,1320000,75
pHelper_Ec1_noMutL_pInt_only,pHelper_Ec1_noMutL_fixed,pInt_only,3,1300000,57
