cuvette,condition,locus,replicate,LB,Chlor
1,attB1,galK,1,20000000,46000
2,attB1,galK,2,10000000,36000
4,attB2,galK,1,14000000,200000
5,attB2,galK,2,8200000,210000
6,attB2,galK,3,16000000,200000
7,attB3,galK,1,13000000,103000
8,attB3,galK,2,19000000,107000
9,attB3,galK,3,12000000,120000
10,attB5,galK,1,16000000,147000
11,attB5,galK,2,8000000,140000
12,attB5,galK,3,24000000,230000
13,attB1,none,1,9000000,50
14,attB2,none,1,8700000,16000
15,attB3,none,1,13000000,15000
16,attB5,none,1,17000000,5000
