Gene Name	Product Name	GO terms (molecular function)	Left-End-Position	Right-End-Position	Direction
aaeR	LysR-type transcriptional regulator AaeR	transcription regulatory region sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	3389520	3390449	+
abgR	putative LysR-type DNA-binding transcriptional regulator AbgR	transcription regulatory region sequence-specific DNA binding // DNA binding // DNA-binding transcription factor activity	1404741	1405649	+
acrR	DNA-binding transcriptional repressor AcrR	transcription regulatory region sequence-specific DNA binding // protein binding // DNA binding // bacterial-type RNA polymerase transcription regulatory region sequence-specific DNA binding // toxic substance binding // sequence-specific DNA binding // DNA-binding transcription factor activity	485761	486408	+
ada	DNA-binding transcriptional dual regulator / DNA repair protein Ada	protein binding // transferase activity // methyltransferase activity // metal ion binding // sequence-specific DNA binding // zinc ion binding // catalytic activity // DNA binding // DNA-binding transcription factor activity // methylated-DNA-[protein]-cysteine S-methyltransferase activity	2309341	2310405	-
adiY	DNA-binding transcriptional activator AdiY	sequence-specific DNA binding // DNA binding // DNA-binding transcription factor activity	4337168	4337929	-
agaR	DNA-binding transcriptional repressor AgaR	DNA-binding transcription factor activity // DNA binding	3277856	3278665	-
aidB	putative acyl-CoA dehydrogenase AidB	identical protein binding // oxidoreductase activity, acting on the CH-CH group of donors // oxidoreductase activity // acyl-CoA dehydrogenase activity // protein binding // sequence-specific DNA binding // DNA binding // isovaleryl-CoA dehydrogenase activity	4414275	4415900	+
alaS	alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor	amino acid binding // ligase activity // aminoacyl-tRNA ligase activity // metal ion binding // identical protein binding // nucleic acid binding // aminoacyl-tRNA editing activity // RNA binding // tRNA binding // ATP binding // nucleotide binding // protein homodimerization activity // Ser-tRNA(Ala) hydrolase activity // DNA-binding transcription repressor activity // zinc ion binding // alanine-tRNA ligase activity	2819381	2822011	-
allR	DNA-binding transcriptional repressor AllR	identical protein binding // protein binding // DNA binding // DNA-binding transcription factor activity	533011	533826	+
allS	DNA-binding transcriptional activator AllS	DNA binding // sequence-specific DNA binding // DNA-binding transcription factor activity	531295	532221	-
alpA	CP4-57 prophage; DNA-binding transcriptional activator AlpA	DNA binding	2758644	2758856	+
alsR	DNA-binding transcriptional repressor AlsR	carbohydrate derivative binding // DNA-binding transcription factor activity // DNA binding	4312101	4312991	-
appY	DLP12 prophage; DNA-binding transcriptional activator AppY	sequence-specific DNA binding // DNA binding // DNA-binding transcription factor activity	583681	584430	+
araC	DNA-binding transcriptional dual regulator AraC	DNA-binding transcription repressor activity // transcription regulatory region sequence-specific DNA binding // identical protein binding // protein binding // sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	70387	71265	+
arcA	ArcA-P<sup>asp54</sup>-phosphate // Phosphorylated DNA-binding transcriptional dual regulator ArcA // DNA-binding transcriptional dual regulator ArcA	DNA-binding transcription repressor activity // DNA-binding transcription activator activity // transcription regulatory region sequence-specific DNA binding // identical protein binding // protein binding // DNA binding // DNA-binding transcription factor activity // phosphorelay response regulator activity	4639590	4640306	-
argP	DNA-binding transcriptional dual regulator ArgP	DNA binding // bent DNA binding // sequence-specific DNA binding // DNA-binding transcription factor activity	3059753	3060646	+
argR	DNA-binding transcriptional dual regulator ArgR	DNA binding // DNA-binding transcription factor activity // bacterial-type cis-regulatory region sequence-specific DNA binding // identical protein binding // arginine binding	3384703	3385173	+
ariR	putative two-component system connector protein AriR	protein binding // protein homodimerization activity // DNA binding	1216369	1216635	+
arsR	DNA-binding transcriptional repressor ArsR	transcription regulatory region sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	3648528	3648881	+
ascG	DNA-binding transcriptional repressor AscG	transcription regulatory region sequence-specific DNA binding // DNA binding // sequence-specific DNA binding // DNA-binding transcription factor activity	2838254	2839264	-
asnC	DNA-binding transcriptional dual regulator AsnC	protein binding // DNA binding // amino acid binding // sequence-specific DNA binding // DNA-binding transcription factor activity	3926545	3927003	-
atoC	phosphorylated DNA-binding transcriptional activator AtoC // DNA-binding transcriptional activator/ornithine decarboxylase inhibitor AtoC	ornithine decarboxylase inhibitor activity // sequence-specific DNA binding // transcription factor binding // DNA binding // ATP binding // nucleotide binding // DNA-binding transcription factor activity	2321866	2323251	+
baeR	Phosphorylated DNA-binding transcriptional activator BaeR // DNA-binding transcriptional activator BaeR	DNA-binding transcription factor activity // DNA-binding transcription activator activity // transcription regulatory region sequence-specific DNA binding // phosphorelay response regulator activity // identical protein binding // DNA binding // bacterial-type cis-regulatory region sequence-specific DNA binding	2164276	2164998	+
basR	Phosphorylated DNA-binding transcriptional dual regulator BasR // DNA-binding transcriptional dual regulator BasR	DNA-binding transcription factor activity // DNA-binding transcription activator activity // transcription regulatory region sequence-specific DNA binding // DNA binding // phosphorelay response regulator activity	4333282	4333950	-
bdcR	putative transcriptional regulator BdcR	DNA-binding transcription factor activity // transcription regulatory region sequence-specific DNA binding // DNA binding	4474124	4474717	+
betI	DNA-binding transcriptional repressor BetI	transcription regulatory region sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	328747	329334	-
bglJ	DNA-binding transcriptional regulator BglJ	protein binding // DNA binding // DNA-binding transcription factor activity	4604160	4604837	+
birA	DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA	protein binding // protein homodimerization activity // biotin binding // bacterial-type RNA polymerase transcription regulatory region sequence-specific DNA binding // ligase activity // ATP binding // nucleotide binding // DNA binding // biotin-[acetyl-CoA-carboxylase] ligase activity	4173082	4174047	+
bolA	DNA-binding transcriptional dual regulator BolA	protein binding // DNA binding	454472	454789	+
btsR	Phosphorylated DNA-binding transcriptional dual regulator BtsR // DNA-binding transcriptional dual regulator BtsR	DNA-binding transcription factor activity // DNA-binding transcription activator activity // transcription regulatory region sequence-specific DNA binding // phosphorelay response regulator activity // protein binding // DNA binding	2212243	2212962	-
cadC	DNA-binding transcriptional activator CadC	DNA-binding transcription factor activity // DNA-binding transcription activator activity // transcription regulatory region sequence-specific DNA binding // phosphorelay response regulator activity // DNA binding // protein binding // protein homodimerization activity	4360396	4361934	-
caiF	DNA-binding transcriptional activator CaiF	DNA-binding transcription factor activity	34300	34695	+
cbl	DNA-binding transcriptional activator Cbl	transcription regulatory region sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	2059964	2060914	-
cdaR	DNA-binding transcriptional activator CdaR	DNA-binding transcription factor activity	182463	183620	+
cecR	DNA-binding transcriptional dual regulator CecR	DNA-binding transcription factor activity // transcription regulatory region sequence-specific DNA binding // identical protein binding // DNA binding	829972	830643	-
cedA	cell division modulator	DNA binding // double-stranded DNA binding // protein binding	1813421	1813663	-
chbR	DNA-binding transcriptional dual regulator ChbR	sequence-specific DNA binding // DNA binding // DNA-binding transcription factor activity // core promoter sequence-specific DNA binding	1818605	1819447	-
comR	DNA-binding transcriptional repressor ComR	DNA-binding transcription factor activity // transcription regulatory region sequence-specific DNA binding // DNA binding	1168200	1168832	-
cpxR	Phosphorylated DNA-binding transcriptional dual regulator CpxR // DNA-binding transcriptional dual regulator CpxR	DNA-binding transcription activator activity // transcription regulatory region sequence-specific DNA binding // phosphorelay response regulator activity // protein binding // DNA binding // DNA-binding transcription factor activity	4104972	4105670	-
cra	DNA-binding transcriptional dual regulator Cra	DNA-binding transcription factor activity // transcription regulatory region sequence-specific DNA binding // DNA binding // bacterial-type cis-regulatory region sequence-specific DNA binding // identical protein binding	88028	89032	+
creB	Phosphorylated DNA-binding transcriptional regulator CreB // DNA-binding transcriptional regulator CreB	DNA-binding transcription factor activity // DNA-binding transcription activator activity // transcription regulatory region sequence-specific DNA binding // phosphorelay response regulator activity // identical protein binding // DNA binding // bacterial-type cis-regulatory region sequence-specific DNA binding	4636007	4636696	+
crp	DNA-binding transcriptional dual regulator CRP	DNA binding, bending // minor groove of adenine-thymine-rich DNA binding // identical protein binding // sequence-specific DNA binding // protein binding // DNA-binding transcription factor activity // cAMP binding // DNA binding // nucleotide binding	3486120	3486752	+
csgD	DNA-binding transcriptional dual regulator CsgD	DNA-binding transcription activator activity // transcription regulatory region sequence-specific DNA binding // DNA-binding transcription repressor activity // DNA binding // bacterial-type cis-regulatory region sequence-specific DNA binding	1102546	1103196	-
cspA	cold shock protein CspA	nucleic acid binding // RNA binding // single-stranded RNA binding // transcription antitermination factor activity, RNA binding // single-stranded DNA binding // DNA binding	3720049	3720261	+
cspC	stress protein, member of the CspA family	nucleic acid binding // chaperone binding // RNA binding // single-stranded DNA binding // transcription antitermination factor activity, RNA binding // DNA binding	1907226	1907435	-
cspE	transcription antiterminator and regulator of RNA stability	nucleic acid binding // DNA binding // RNA binding // transcription antitermination factor activity, RNA binding // protein homodimerization activity // poly(A) binding // single-stranded DNA binding	657292	657501	+
csqR	DNA-binding transcriptional dual regulator CsqR	DNA-binding transcription factor activity // DNA binding	4074669	4075454	+
cueR	DNA-binding transcriptional dual regulator CueR	identical protein binding // DNA-binding transcription activator activity // transcription regulatory region sequence-specific DNA binding // metal ion binding // DNA binding // bacterial-type cis-regulatory region sequence-specific DNA binding // copper ion binding // DNA-binding transcription factor activity	513993	514400	+
