Gene Name	Product Name	Sequence - coordinates of DNA region	Sequence - length of region	Left-End-Position	Right-End-Position
3'ETS-<i>leuZ</i>	small regulatory RNA 3'ETS<sup><i>leuZ</i></sup>	[3'ETS-leuZ 1,991,748 &larr; 1,991,814]	67	1991748	1991814
agrA	small RNA AgrA	[agrA 3,648,063 &rarr; 3,648,144]	82	3648063	3648144
agrB	small regulatory RNA AgrB	[agrB 3,648,294 &rarr; 3,648,375]	82	3648294	3648375
arcZ	small regulatory RNA ArcZ	[arcZ 3,350,577 &rarr; 3,350,697]	121	3350577	3350697
arrS	small regulatory RNA ArrS	[arrS 3,657,985 &larr; 3,658,054]	70	3657985	3658054
C0293	small regulatory RNA C0293	[C0293 1,196,711 &rarr; 1,196,782]	72	1196711	1196782
chiX	small regulatory RNA ChiX	[chiX 507,204 &rarr; 507,287]	84	507204	507287
cpxQ	small regulatory RNA CpxQ	[cpxQ 4,106,330 &rarr; 4,106,387]	58	4106330	4106387
csrB	small regulatory RNA CsrB	[csrB 2,924,156 &larr; 2,924,524]	369	2924156	2924524
csrC	small regulatory RNA CsrC	[csrC 4,051,036 &rarr; 4,051,281]	246	4051036	4051281
cyaR	small regulatory RNA CyaR	[cyaR 2,167,114 &rarr; 2,167,200]	87	2167114	2167200
dicF	Qin prophage; small regulatory RNA DicF	[dicF 1,649,382 &rarr; 1,649,434]	53	1649382	1649434
dsrA	small regulatory RNA DsrA	[dsrA 2,025,223 &larr; 2,025,313]	91	2025223	2025313
esrE	small RNA EsrE	[esrE 4,019,978 &rarr; 4,020,229]	252	4019978	4020229
eyeA	CP4-6 prophage; small RNA EyeA	[eyeA 272,580 &rarr; 272,654]	75	272580	272654
ffs	signal recognition particle 4.5S RNA	[ffs 476,448 &rarr; 476,561]	114	476448	476561
fnrS	small regulatory RNA FnrS	[fnrS 1,409,129 &rarr; 1,409,250]	122	1409129	1409250
G0-10706	small RNA	[G0-10706 4,441,225 &larr; 4,441,330]	106	4441225	4441330
gadF	small regulatory RNA GadF	[gadF 3,658,992 &rarr; 3,659,082]	91	3658992	3659082
gadY	small regulatory RNA GadY	[gadY 3,664,864 &rarr; 3,664,969]	106	3664864	3664969
gcvB	small regulatory RNA GcvB	[gcvB 2,942,696 &rarr; 2,942,901]	206	2942696	2942901
glmY	small regulatory RNA GlmY	[glmY 2,691,157 &larr; 2,691,340]	184	2691157	2691340
glmZ	small regulatory RNA GlmZ	[glmZ 3,986,432 &rarr; 3,986,603]	172	3986432	3986603
ipeX	small RNA IpeX	[ipeX 574,367 &larr; 574,515]	149	574367	574515
isrC	CP4-44 prophage; small RNA IsrC	[isrC 2,071,317 &rarr; 2,071,511]	195	2071317	2071511
istR	small regulatory RNA IstR-1	[istR 3,853,118 &larr; 3,853,257]	140	3853118	3853257
mcaS	small regulatory RNA McaS	[mcaS 1,405,658 &larr; 1,405,751]	94	1405658	1405751
mgrR	small regulatory RNA MgrR	[mgrR 1,622,817 &larr; 1,622,914]	98	1622817	1622914
micA	small regulatory RNA MicA	[micA 2,814,802 &rarr; 2,814,874]	73	2814802	2814874
